Date,Month,Type,Category,Description,Amount
2026-02-05,Feb 2026,Income,Salary,Net pay (biweekly),1721.97
2026-02-19,Feb 2026,Income,Salary,Net pay (biweekly),1691.25
2026-02-17,Feb 2026,Income,Freelance,Freelance / tutoring project,147.91
2026-02-04,Feb 2026,Expense,Rent,Monthly apartment rent,1150
2026-02-18,Feb 2026,Expense,Groceries,Grocery run,306.96
2026-02-14,Feb 2026,Expense,Transportation,Transit Windsor monthly pass,86.11
2026-02-03,Feb 2026,Expense,Utilities,Hydro / internet bill,137.65
2026-02-17,Feb 2026,Expense,Phone & Internet,Mobile phone plan,58.01
2026-02-18,Feb 2026,Expense,Subscriptions,Streaming subscriptions,31.59
2026-02-21,Feb 2026,Expense,Dining Out,Dinner / takeout,151.11
2026-02-14,Feb 2026,Expense,Personal Care,Haircut / personal care,54.92
2026-02-19,Feb 2026,Expense,Entertainment,Movies / outings,70.3
2026-02-01,Feb 2026,Expense,TFSA Transfer,Transfer to TFSA savings,425.88
2026-02-06,Feb 2026,Expense,Miscellaneous,Miscellaneous purchase,109.81
2026-03-05,Mar 2026,Income,Salary,Net pay (biweekly),1707.01
2026-03-19,Mar 2026,Income,Salary,Net pay (biweekly),1697.77
2026-03-11,Mar 2026,Expense,Rent,Monthly apartment rent,1150
2026-03-13,Mar 2026,Expense,Groceries,Grocery run,307.74
2026-03-12,Mar 2026,Expense,Transportation,Transit Windsor monthly pass,106.13
2026-03-26,Mar 2026,Expense,Utilities,Hydro / internet bill,131.52
2026-03-15,Mar 2026,Expense,Phone & Internet,Mobile phone plan,57.68
2026-03-13,Mar 2026,Expense,Subscriptions,Streaming subscriptions,30.63
2026-03-10,Mar 2026,Expense,Dining Out,Dinner / takeout,161.35
2026-03-20,Mar 2026,Expense,Personal Care,Haircut / personal care,84.85
2026-03-12,Mar 2026,Expense,Entertainment,Movies / outings,86.75
2026-03-23,Mar 2026,Expense,TFSA Transfer,Transfer to TFSA savings,356.96
2026-03-22,Mar 2026,Expense,Miscellaneous,Miscellaneous purchase,62.79
2026-04-05,Apr 2026,Income,Salary,Net pay (biweekly),1704.47
2026-04-19,Apr 2026,Income,Salary,Net pay (biweekly),1693.99
2026-04-13,Apr 2026,Income,Freelance,Freelance / tutoring project,196.03
2026-04-15,Apr 2026,Expense,Rent,Monthly apartment rent,1150
2026-04-12,Apr 2026,Expense,Groceries,Grocery run,313.01
2026-04-12,Apr 2026,Expense,Transportation,Transit Windsor monthly pass,92.33
2026-04-09,Apr 2026,Expense,Utilities,Hydro / internet bill,154.56
2026-04-22,Apr 2026,Expense,Phone & Internet,Mobile phone plan,58.24
2026-04-20,Apr 2026,Expense,Subscriptions,Streaming subscriptions,35.08
2026-04-18,Apr 2026,Expense,Dining Out,Dinner / takeout,153.33
2026-04-06,Apr 2026,Expense,Personal Care,Haircut / personal care,65.8
2026-04-09,Apr 2026,Expense,Entertainment,Movies / outings,109.42
2026-04-21,Apr 2026,Expense,TFSA Transfer,Transfer to TFSA savings,418.82
2026-04-08,Apr 2026,Expense,Miscellaneous,Miscellaneous purchase,108.46
2026-05-05,May 2026,Income,Salary,Net pay (biweekly),1732.14
2026-05-19,May 2026,Income,Salary,Net pay (biweekly),1728.8
2026-05-11,May 2026,Income,Freelance,Freelance / tutoring project,281.01
2026-05-13,May 2026,Expense,Rent,Monthly apartment rent,1150
2026-05-07,May 2026,Expense,Groceries,Grocery run,373.05
2026-05-19,May 2026,Expense,Transportation,Transit Windsor monthly pass,115.67
2026-05-11,May 2026,Expense,Utilities,Hydro / internet bill,137.44
2026-05-16,May 2026,Expense,Phone & Internet,Mobile phone plan,56.98
2026-05-21,May 2026,Expense,Subscriptions,Streaming subscriptions,33.67
2026-05-09,May 2026,Expense,Dining Out,Dinner / takeout,106.17
2026-05-24,May 2026,Expense,Personal Care,Haircut / personal care,70.26
2026-05-09,May 2026,Expense,Entertainment,Movies / outings,96.09
2026-05-14,May 2026,Expense,TFSA Transfer,Transfer to TFSA savings,439.78
2026-05-13,May 2026,Expense,Miscellaneous,Miscellaneous purchase,76.2
2026-06-05,Jun 2026,Income,Salary,Net pay (biweekly),1739.87
2026-06-19,Jun 2026,Income,Salary,Net pay (biweekly),1696.92
2026-06-11,Jun 2026,Income,Freelance,Freelance / tutoring project,292.22
2026-06-05,Jun 2026,Expense,Rent,Monthly apartment rent,1150
2026-06-26,Jun 2026,Expense,Groceries,Grocery run,354.44
2026-06-20,Jun 2026,Expense,Transportation,Transit Windsor monthly pass,87.22
2026-06-13,Jun 2026,Expense,Utilities,Hydro / internet bill,150.86
2026-06-15,Jun 2026,Expense,Phone & Internet,Mobile phone plan,57.65
2026-06-18,Jun 2026,Expense,Subscriptions,Streaming subscriptions,36.89
2026-06-01,Jun 2026,Expense,Dining Out,Dinner / takeout,149.42
2026-06-04,Jun 2026,Expense,Personal Care,Haircut / personal care,75.68
2026-06-18,Jun 2026,Expense,Entertainment,Movies / outings,96.3
2026-06-25,Jun 2026,Expense,TFSA Transfer,Transfer to TFSA savings,414.1
2026-06-04,Jun 2026,Expense,Miscellaneous,Miscellaneous purchase,69.35
2026-07-05,Jul 2026,Income,Salary,Net pay (biweekly),1697.91
2026-07-19,Jul 2026,Income,Salary,Net pay (biweekly),1690.16
2026-07-24,Jul 2026,Expense,Rent,Monthly apartment rent,1150
2026-07-17,Jul 2026,Expense,Groceries,Grocery run,360.96
2026-07-17,Jul 2026,Expense,Transportation,Transit Windsor monthly pass,116.94
2026-07-21,Jul 2026,Expense,Utilities,Hydro / internet bill,140.45
2026-07-21,Jul 2026,Expense,Phone & Internet,Mobile phone plan,57.54
2026-07-07,Jul 2026,Expense,Subscriptions,Streaming subscriptions,31.22
2026-07-25,Jul 2026,Expense,Dining Out,Dinner / takeout,107.92
2026-07-25,Jul 2026,Expense,Personal Care,Haircut / personal care,86.51
2026-07-01,Jul 2026,Expense,Entertainment,Movies / outings,87.94
2026-07-16,Jul 2026,Expense,TFSA Transfer,Transfer to TFSA savings,351.95
2026-07-12,Jul 2026,Expense,Miscellaneous,Miscellaneous purchase,127.87
